,timestamp,address,crew_lead,time_start,time_end,num_ppl,work_completed,time_spent_prepping,job_difficulty,notes,dog_lines,,fix_notes,sprinklers_unfixed,sprinklers_hit,job_finished
0,2020-05-04 12:12:30,8443 maple leaf court,Sergey,2020-08-01 09:35:00,2020-08-01 12:10:00,3,Cutting and Prepping,1,2,Large pine bed by driveway is theirs ,FALSE,,,0,0,TRUE
1,2020-05-04 13:59:42,10780 honey suckle dr,Sergey,2020-08-01 12:10:00,2020-08-01 14:05:00,4,Cutting and Prepping,2,3,,FALSE,,,0,0,TRUE
2,2020-05-04 17:34:46,10333 widdington close,Sergey,2020-08-01 15:20:00,2020-08-01 15:20:00,4,Cutting and Prepping,0,1,,FALSE,,,1,1,FALSE
3,2020-05-05 15:23:30,448 glenside ln,Sergey,2020-08-01 13:20:00,2020-08-01 14:10:00,5,Cutting and Prepping,0,1,Dog lines runs through back bed too at edge. Drop in a little later so you don’t snag. Keep 5 ft away from woods.,FALSE,,,0,0,TRUE
4,2020-05-05 15:24:41,10333 widdington close,Sergey,2020-08-01 11:15:00,2020-08-01 13:00:00,5,Cutting and Prepping,0,2,,FALSE,,,0,1,TRUE
5,2020-05-05 17:49:49,4638 sibel ct,Sergey,2020-08-01 14:30:00,2020-08-01 16:05:00,5,Cutting and Prepping,1,2,Nothing to worry about,FALSE,,,0,0,TRUE
6,2020-05-05 17:51:44,274 halverston road,Sergey,2020-08-01 16:10:00,2020-08-01 16:55:00,5,Cutting and Prepping,0,1,Nothing to worry about,FALSE,,,0,0,TRUE
7,2020-05-06 10:51:43,117 wagon trail east,Luke,2020-08-01 09:20:00,2020-08-01 10:45:00,6,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
8,2020-05-06 11:49:24,3480 windy forest,Luke,2020-08-01 11:00:00,2020-08-01 11:45:00,5,Cutting and Prepping,0,1,Dog fence is old and inactive.,FALSE,,,0,0,TRUE
9,2020-05-06 14:16:48,3738 pine bank drive,Luke,2020-08-01 12:00:00,2020-08-01 13:45:00,5,Cutting and Prepping,0,3,Sprinkler line and French drain run in line with most edges. Recommend hand-edge majority of back and front to avoid.,FALSE,,,0,1,TRUE
10,2020-05-06 15:10:39,3737 pine bank dr,Sergey,2020-08-01 13:55:00,2020-08-01 15:05:00,5,Cutting and Prepping,1,2,Homemade sprinklers can be moved while edging. ,FALSE,,,0,0,FALSE
11,2020-05-06 15:21:55,3737 pine bank dr,Luke,2020-08-01 14:50:00,2020-08-01 15:10:00,5,Cutting Edge,0,1,,FALSE,,,0,0,TRUE
12,2020-05-06 16:22:09,3706 pine bank drive,Luke,2020-08-01 15:20:00,2020-08-01 16:20:00,5,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
13,2020-05-07 09:34:57,10560 wellington blvd,Luke,2020-08-01 08:30:00,2020-08-01 09:30:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
14,2020-05-07 13:26:51,1450 home road,Luke,2020-08-01 09:55:00,2020-08-01 12:45:00,3,Cutting and Prepping,1,3,,FALSE,,,0,0,TRUE
15,2020-05-07 15:12:55,104 wagon trail,Luke,2020-08-01 13:40:00,2020-08-01 15:10:00,3,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
16,2020-05-07 16:22:29,4072 scenic view dr,Luke,2020-08-01 15:30:00,2020-08-01 16:20:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
17,2020-05-11 09:35:42,7155 eventrail drive,Drew,2020-08-01 08:38:00,2020-08-01 09:36:00,5,Cutting and Prepping,1,1,,FALSE,,None,0,0,TRUE
18,2020-05-11 11:00:09,4456 scioto pkwy,Drew,2020-08-01 09:48:00,2020-08-01 10:55:00,5,Cutting and Prepping,0,2,,FALSE,,,0,0,TRUE
19,2020-05-11 11:46:56,7061 scioto chase,Drew,2020-08-01 10:59:00,2020-08-01 11:46:00,5,Cutting and Prepping,0,1,Can’t edge back teees too rooty,FALSE,,All were marked ,0,0,TRUE
20,2020-05-11 14:19:04,4297 scioto parkway,Drew,2020-08-01 12:31:00,2020-08-01 14:18:00,5,Cutting and Prepping,1,3,Brick under back former beds and treees are rooty,FALSE,,,0,0,TRUE
21,2020-05-12 09:29:07,8545 trail lake dr,Drew,2020-08-01 08:25:00,2020-08-01 09:28:00,4,Cutting and Prepping,0,1,Cable all over back left corner p,FALSE,,Drainage pipe front left ,0,0,TRUE
22,2020-05-12 11:43:27,8811 filiz lane,Drew,2020-08-01 10:03:00,2020-08-01 11:42:00,4,Cutting and Prepping,0,1,Watch out for lines call him,FALSE,,,0,0,TRUE
23,2020-05-13 11:03:12,9411 creighton drive,Drew,2020-08-01 09:05:00,2020-08-01 11:01:00,3,Cutting and Prepping,0,1,Cable line off paper walkway. ,FALSE,,,0,0,TRUE
